call_index,description,feature_condition,weight
0,High-DPAD (Correctly Classified) - Example 1,season_month <= 1.00,0.025253397283997902
0,High-DPAD (Correctly Classified) - Example 1,payment_info_collected <= 0.00,-0.022231103823359088
0,High-DPAD (Correctly Classified) - Example 1,TO_length_in_sec <= 115.00,-0.019708340652428914
0,High-DPAD (Correctly Classified) - Example 1,9.00 < time_to_reason_seconds <= 15.00,0.018802208448863864
0,High-DPAD (Correctly Classified) - Example 1,tone_assessment <= 7.00,0.018174340339148703
0,High-DPAD (Correctly Classified) - Example 1,full_sale_closed <= 0.00,0.015438645277204377
0,High-DPAD (Correctly Classified) - Example 1,signal_ratio <= 1.00,-0.013727410922899613
0,High-DPAD (Correctly Classified) - Example 1,558.75 < call_structure_clarity <= 1085.50,-0.010821969880441021
0,High-DPAD (Correctly Classified) - Example 1,call_result_tag <= 2.00,0.009287617233477074
0,High-DPAD (Correctly Classified) - Example 1,name_usage_count <= 2.00,-0.009207587440423734
0,High-DPAD (Correctly Classified) - Example 1,total_buying_signals <= 0.00,-0.009115296567733818
0,High-DPAD (Correctly Classified) - Example 1,customer_talk_percentage <= 33.33,-0.00909630109642233
0,High-DPAD (Correctly Classified) - Example 1,1.00 < ready_to_transfer <= 5.00,0.008922885178657226
0,High-DPAD (Correctly Classified) - Example 1,lgs_sentiment_style <= 3.00,0.008171099157507675
0,High-DPAD (Correctly Classified) - Example 1,is_decision_maker <= 6.00,0.007610295674855998
597,High-DPAD (Correctly Classified) - Example 2,call_structure_clarity <= 558.75,0.024241653866015907
597,High-DPAD (Correctly Classified) - Example 2,9.00 < time_to_reason_seconds <= 15.00,0.02132569877635525
597,High-DPAD (Correctly Classified) - Example 2,tone_assessment <= 7.00,0.019477418467258787
597,High-DPAD (Correctly Classified) - Example 2,TO_length_in_sec <= 115.00,-0.01671493230382665
597,High-DPAD (Correctly Classified) - Example 2,stages_skipped <= 145.00,-0.011309862812208242
597,High-DPAD (Correctly Classified) - Example 2,acknowledgement_rate > 67.00,0.00954819225893559
597,High-DPAD (Correctly Classified) - Example 2,payment_info_collected <= 0.00,-0.009256965278952483
597,High-DPAD (Correctly Classified) - Example 2,full_sale_closed <= 0.00,0.008611934387513698
597,High-DPAD (Correctly Classified) - Example 2,time_in_final_stage <= 28.00,0.00793971340068491
597,High-DPAD (Correctly Classified) - Example 2,lgs_sentiment_style <= 3.00,0.007794047632320901
597,High-DPAD (Correctly Classified) - Example 2,ready_to_transfer <= 1.00,-0.007784196037302107
597,High-DPAD (Correctly Classified) - Example 2,total_call_duration <= 121.00,0.007004154195373671
597,High-DPAD (Correctly Classified) - Example 2,TO_OMC_Duration > 804.00,0.006982908495198247
