feature,importance,std
TO_length_in_sec,0.0,0.0
TO_OMC_Duration,0.0,0.0
Calls Count,0.0,0.0
Connection Made Calls,0.0,0.0
Dial Attempt Calls,0.0,0.0
timezone,0.0,0.0
season_status,0.0,0.0
season_month,0.0,0.0
lgs_sentiment_style,0.0,0.0
lgs_agent_gender,0.0,0.0
is_decision_maker,0.0,0.0
ready_for_customers,0.0,0.0
forbidden_industry,0.0,0.0
ready_to_transfer,0.0,0.0
lgs_call_not_transferred,0.0,0.0
customer_sentiment_lgs,0.0,0.0
customer_language,0.0,0.0
customer_knows_marketing,0.0,0.0
customer_availability,0.0,0.0
who_said_hello_first_lgs,0.0,0.0
customer_marketing_experience,0.0,0.0
technical_quality_score,0.0,0.0
technical_quality_issues,0.0,0.0
customer_talk_percentage,0.0,0.0
agent_talk_percentage,0.0,0.0
talk_ratio_classification,0.0,0.0
total_discovery_questions,0.0,0.0
goal1_questions,0.0,0.0
goal2_questions,0.0,0.0
goal3_questions,0.0,0.0
discovery_quality,0.0,0.0
advanced_discovery_used,0.0,0.0
total_buying_signals,0.0,0.0
total_resistance_signals,0.0,0.0
signal_ratio,0.0,0.0
customer_sentiment_omc,0.0,0.0
omc_agent_sentiment_style,0.0,0.0
omc_who_said_hello_first,0.0,0.0
time_to_reason_seconds,0.0,0.0
business_type_mentioned,0.0,0.0
location_mentioned,0.0,0.0
within_45_seconds,0.0,0.0
call_structure_framed,0.0,0.0
call_structure_clarity,0.0,0.0
total_objections,0.0,0.0
objections_acknowledged,0.0,0.0
objections_rebutted,0.0,0.0
acknowledgement_rate,0.0,0.0
price_mentions_final_2min,0.0,0.0
timeline_mentions_final_2min,0.0,0.0
contract_mentions_final_2min,0.0,0.0
price_timeline_contract_before_dropoff,0.0,0.0
roi_calculation_presented,0.0,0.0
average_monologue_length,0.0,0.0
longest_monologue_length,0.0,0.0
extended_monologues_count,0.0,0.0
short_monologues,0.0,0.0
medium_monologues,0.0,0.0
long_monologues,0.0,0.0
very_long_monologues,0.0,0.0
total_interruptions,0.0,0.0
interruption_rate,0.0,0.0
interruption_pattern,0.0,0.0
conversation_balance,0.0,0.0
script_adherence,0.0,0.0
stages_skipped,0.0,0.0
stages_out_of_order,0.0,0.0
premature_closing_attempt,0.0,0.0
name_used_first_minute,0.0,0.0
name_usage_count,0.0,0.0
rapport_elements_count,0.0,0.0
tone_assessment,0.0,0.0
personal_greeting,0.0,0.0
common_ground_established,0.0,0.0
sentiment_progression,0.0,0.0
sentiment_opening,0.0,0.0
sentiment_early_middle,0.0,0.0
sentiment_late_middle,0.0,0.0
sentiment_closing,0.0,0.0
notable_sentiment_shifts,0.0,0.0
customer_frustrations,0.0,0.0
empathy_responses,0.0,0.0
empathy_response_rate,0.0,0.0
total_call_duration,0.0,0.0
disconnect_stage,0.0,0.0
hang_up_initiated_by,0.0,0.0
time_in_final_stage,0.0,0.0
commitment_type,0.0,0.0
commitment_clarity,0.0,0.0
assumptive_language_used,0.0,0.0
full_sale_closed,0.0,0.0
payment_info_collected,0.0,0.0
followup_scheduled,0.0,0.0
call_result_tag,0.0,0.0
primary_disconnect_reason,0.0,0.0
